Opportunity_ID,Last_Modified_By,Total Price(Euros)
OPP-3622-83,Ruchita Patil,45.21
OPP-4266-95,Ruchita Patil,22.21
OPP-8055-69,Ruchita Patil,29.0
OPP-6068-68,Jaswinder Singh,32.55
OPP-1392-25,Heena Chopra,32.83
OPP-2238-32,Heena Chopra,37.19
OPP-6606-43,Belal Farooqui,31.98
OPP-7297-27,Ruchita Patil,38.46
OPP-9522-30,Ruchita Patil,25.37
OPP-2298-97,Ruchita Patil,26.34
OPP-7739-91,Heena Chopra,27.07
OPP-0992-77,Ruchita Patil,30.51
OPP-9505-20,Ruchita Patil,39.16
OPP-3630-12,Ruchita Patil,25.63
OPP-4005-09,Belal Farooqui,26.8
OPP-5440-44,Belal Farooqui,40.37
OPP-4656-50,Belal Farooqui,41.12
OPP-6466-50,Jaswinder Singh,40.36
OPP-6359-88,Ruchita Patil,48.69
OPP-5715-85,Jaswinder Singh,40.37
OPP-2313-17,Ruchita Patil,23.23
OPP-1192-95,Jaswinder Singh,46.8
OPP-8906-20,Belal Farooqui,41.53
OPP-7323-57,Ruchita Patil,27.97
OPP-0600-39,Ruchita Patil,45.36
OPP-0461-34,Ruchita Patil,33.08
OPP-4580-47,Ruchita Patil,44.76
OPP-1080-80,Belal Farooqui,22.17
OPP-4596-89,Heena Chopra,28.68
OPP-5804-32,Belal Farooqui,47.2
OPP-5701-28,Ruchita Patil,39.59
OPP-4684-80,Ruchita Patil,32.21
OPP-2487-23,Heena Chopra,32.02
OPP-1828-38,Ruchita Patil,25.3
OPP-3174-76,Ruchita Patil,45.54
OPP-5246-34,Belal Farooqui,44.37
OPP-4744-44,Ruchita Patil,44.44
OPP-5451-91,Belal Farooqui,24.96
OPP-5899-96,Ruchita Patil,21.6
OPP-2723-63,Ruchita Patil,33.63
OPP-0424-29,Ruchita Patil,32.66
OPP-8956-28,Ruchita Patil,32.51
OPP-1169-66,Ruchita Patil,42.6
OPP-3874-28,Belal Farooqui,37.47
OPP-6461-96,Ruchita Patil,27.34
OPP-8069-63,Heena Chopra,44.18
OPP-0440-17,Ruchita Patil,20.2
OPP-3504-51,Ruchita Patil,46.35
OPP-2250-10,Belal Farooqui,47.51
OPP-2304-32,Ruchita Patil,25.41
OPP-8901-02,Belal Farooqui,33.34
OPP-1173-94,Ruchita Patil,37.0
OPP-7669-77,Ruchita Patil,43.18
OPP-8251-89,Ruchita Patil,39.19
OPP-9634-66,Heena Chopra,49.73
OPP-5397-83,Ruchita Patil,47.84
OPP-8728-87,Jaswinder Singh,38.86
OPP-5084-61,Ruchita Patil,37.99
OPP-9559-06,Jaswinder Singh,46.93
OPP-4584-00,Jaswinder Singh,34.24
OPP-8865-10,Ruchita Patil,43.38
OPP-2108-20,Ruchita Patil,28.64
OPP-6432-75,Belal Farooqui,44.28
OPP-3059-38,Belal Farooqui,47.64
OPP-4242-50,Ruchita Patil,23.69
OPP-8586-35,Ruchita Patil,27.24
OPP-6765-00,Ruchita Patil,44.75
OPP-1967-44,Belal Farooqui,33.51
OPP-4929-54,Ruchita Patil,39.12
OPP-2917-63,Jaswinder Singh,40.64
OPP-2409-42,Belal Farooqui,37.23
OPP-9283-37,Jaswinder Singh,37.0
OPP-4343-32,Ruchita Patil,25.55
OPP-5577-09,Ruchita Patil,44.48
OPP-9447-71,Belal Farooqui,32.0
OPP-8352-31,Ruchita Patil,42.61
OPP-9503-95,Heena Chopra,33.26
OPP-8788-24,Ruchita Patil,42.32
OPP-1366-29,Ruchita Patil,32.32
OPP-4853-78,Ruchita Patil,37.47
OPP-8105-50,Heena Chopra,40.11
OPP-9751-46,Heena Chopra,38.59
OPP-2657-87,Ruchita Patil,34.71
OPP-5150-05,Heena Chopra,27.17
OPP-9688-67,Belal Farooqui,22.77
OPP-5128-89,Jaswinder Singh,27.9
OPP-1924-84,Ruchita Patil,38.32
OPP-9344-37,Jaswinder Singh,37.27
OPP-6747-86,Ruchita Patil,46.41
OPP-8024-50,Heena Chopra,45.31
OPP-8957-84,Belal Farooqui,23.8
OPP-7565-74,Jaswinder Singh,25.52
OPP-4550-29,Ruchita Patil,41.2
OPP-1111-14,Ruchita Patil,40.8
OPP-6895-78,Ruchita Patil,29.42
OPP-2392-06,Ruchita Patil,29.04
OPP-2066-99,Belal Farooqui,46.43
OPP-4421-05,Belal Farooqui,25.6
OPP-7084-10,Ruchita Patil,26.7
OPP-8406-88,Ruchita Patil,22.89
OPP-3504-56,Ruchita Patil,30.85
OPP-1990-62,Ruchita Patil,28.65
OPP-0549-63,Heena Chopra,29.42
OPP-4571-05,Ruchita Patil,23.47
OPP-6264-44,Heena Chopra,21.09
OPP-9567-83,Ruchita Patil,45.14
OPP-7172-65,Ruchita Patil,41.19
OPP-5924-81,Ruchita Patil,27.11
OPP-0911-98,Ruchita Patil,20.12
OPP-7665-78,Ruchita Patil,35.17
OPP-2449-47,Ruchita Patil,34.79
OPP-3588-79,Jaswinder Singh,46.34
OPP-4144-95,Ruchita Patil,39.81
OPP-0369-83,Belal Farooqui,40.65
OPP-2216-92,Belal Farooqui,25.21
OPP-7274-52,Jaswinder Singh,45.41
OPP-5361-10,Belal Farooqui,25.04
OPP-4137-91,Jaswinder Singh,35.83
OPP-4155-91,Belal Farooqui,42.11
OPP-0370-53,Heena Chopra,27.56
OPP-4834-31,Ruchita Patil,39.61
OPP-1369-00,Ruchita Patil,46.08
OPP-6186-47,Jaswinder Singh,32.35
OPP-7609-89,Ruchita Patil,37.53
OPP-4163-92,Ruchita Patil,44.77
OPP-0505-05,Ruchita Patil,48.05
OPP-3578-66,Heena Chopra,26.32
OPP-0490-39,Ruchita Patil,40.81
OPP-9868-98,Heena Chopra,33.3
OPP-2730-74,Ruchita Patil,20.93
OPP-1573-04,Ruchita Patil,35.18
OPP-0184-15,Heena Chopra,25.11
OPP-6536-13,Ruchita Patil,22.87
OPP-7538-58,Ruchita Patil,36.04
OPP-4939-43,Ruchita Patil,39.19
OPP-0562-28,Belal Farooqui,37.12
OPP-5969-07,Belal Farooqui,45.96
OPP-2966-90,Ruchita Patil,28.61
OPP-5473-55,Ruchita Patil,26.62
OPP-0042-70,Heena Chopra,22.71
OPP-3065-21,Belal Farooqui,31.82
OPP-5757-18,Ruchita Patil,39.09
OPP-4510-08,Ruchita Patil,42.35
OPP-8061-40,Ruchita Patil,32.3
OPP-9328-27,Ruchita Patil,37.96
OPP-4007-36,Belal Farooqui,31.01
OPP-7715-83,Heena Chopra,33.83
OPP-8199-40,Belal Farooqui,22.07
OPP-4591-77,Belal Farooqui,32.65
OPP-3874-87,Ruchita Patil,29.9
OPP-2134-47,Ruchita Patil,47.09
OPP-1691-14,Belal Farooqui,27.92
OPP-9071-95,Ruchita Patil,22.08
OPP-2165-61,Belal Farooqui,29.59
OPP-0825-05,Ruchita Patil,40.33
OPP-4053-82,Ruchita Patil,27.77
OPP-8039-44,Ruchita Patil,47.11
OPP-4548-57,Ruchita Patil,28.0
OPP-8500-00,Jaswinder Singh,35.53
OPP-3929-93,Jaswinder Singh,45.87
OPP-2542-54,Ruchita Patil,47.73
OPP-9071-35,Ruchita Patil,25.22
OPP-6773-81,Ruchita Patil,40.97
OPP-0839-51,Belal Farooqui,49.57
OPP-4187-14,Heena Chopra,23.98
OPP-6508-62,Jaswinder Singh,26.01
OPP-7411-73,Ruchita Patil,20.18
OPP-4634-66,Belal Farooqui,49.25
OPP-0769-67,Belal Farooqui,20.33
OPP-7440-46,Jaswinder Singh,34.82
OPP-6681-63,Ruchita Patil,39.22
OPP-5097-41,Ruchita Patil,20.51
OPP-7360-39,Heena Chopra,27.71
OPP-5749-45,Belal Farooqui,22.71
OPP-1498-99,Belal Farooqui,27.89
OPP-7987-48,Ruchita Patil,40.11
OPP-7066-32,Heena Chopra,28.42
OPP-2471-30,Jaswinder Singh,41.22
OPP-6308-83,Belal Farooqui,48.78
OPP-6025-62,Belal Farooqui,29.04
OPP-6927-94,Belal Farooqui,35.08
OPP-7816-64,Jaswinder Singh,36.08
OPP-8445-07,Belal Farooqui,30.11
OPP-4118-82,Ruchita Patil,31.33
OPP-3889-87,Belal Farooqui,38.83
OPP-4190-58,Jaswinder Singh,31.51
OPP-9769-78,Belal Farooqui,37.49
OPP-7938-98,Ruchita Patil,28.49
OPP-0350-98,Ruchita Patil,31.22
OPP-2399-01,Belal Farooqui,41.42
OPP-3847-72,Heena Chopra,34.42
OPP-7748-82,Belal Farooqui,33.73
OPP-7493-54,Belal Farooqui,35.07
OPP-5637-86,Ruchita Patil,47.89
OPP-8778-93,Heena Chopra,26.7
OPP-9247-41,Belal Farooqui,49.62
OPP-8459-08,Jaswinder Singh,46.43
OPP-6354-59,Ruchita Patil,44.1
OPP-5362-34,Belal Farooqui,25.85
OPP-7261-98,Belal Farooqui,49.97
OPP-4483-18,Belal Farooqui,32.1
OPP-1537-14,Belal Farooqui,37.52
OPP-7239-13,Ruchita Patil,40.87
OPP-7973-68,Ruchita Patil,36.34
OPP-2852-35,Ruchita Patil,21.44
OPP-7992-36,Belal Farooqui,40.02
OPP-7357-54,Ruchita Patil,39.87
OPP-7474-42,Ruchita Patil,48.72
OPP-8765-21,Belal Farooqui,20.34
OPP-1327-13,Ruchita Patil,37.79
OPP-5333-17,Ruchita Patil,44.05
OPP-7678-76,Ruchita Patil,28.41
OPP-9457-67,Belal Farooqui,36.18
OPP-9355-81,Ruchita Patil,25.46
OPP-0070-34,Ruchita Patil,48.29
OPP-8261-95,Ruchita Patil,41.57
OPP-5628-56,Ruchita Patil,39.78
OPP-0564-77,Ruchita Patil,44.24
OPP-9584-24,Ruchita Patil,45.11
OPP-2043-27,Ruchita Patil,32.98
OPP-3052-94,Belal Farooqui,38.39
OPP-4236-74,Heena Chopra,34.36
OPP-0090-80,Belal Farooqui,48.08
OPP-6266-81,Ruchita Patil,20.65
OPP-2980-78,Heena Chopra,30.41
OPP-8356-90,Ruchita Patil,27.72
OPP-6101-75,Ruchita Patil,32.52
OPP-2152-99,Ruchita Patil,44.42
OPP-3678-31,Heena Chopra,23.26
OPP-9994-36,Jaswinder Singh,39.07
OPP-7825-54,Ruchita Patil,48.87
OPP-1969-99,Heena Chopra,31.29
OPP-9983-86,Belal Farooqui,37.4
OPP-8769-37,Belal Farooqui,35.11
OPP-2866-72,Ruchita Patil,43.79
OPP-6623-61,Ruchita Patil,24.88
OPP-6784-27,Ruchita Patil,37.49
OPP-4166-10,Ruchita Patil,39.92
OPP-6081-03,Ruchita Patil,24.81
OPP-1125-18,Ruchita Patil,32.49
OPP-4274-85,Jaswinder Singh,29.42
OPP-6333-57,Ruchita Patil,25.05
OPP-6236-62,Belal Farooqui,30.83
OPP-9141-17,Ruchita Patil,25.95
OPP-8627-46,Ruchita Patil,20.3
OPP-3129-14,Belal Farooqui,32.7
OPP-3508-24,Belal Farooqui,36.12
OPP-3335-59,Ruchita Patil,30.03
OPP-3952-44,Heena Chopra,22.88
OPP-9874-28,Ruchita Patil,22.68
OPP-1353-56,Belal Farooqui,28.26
OPP-2621-01,Ruchita Patil,38.44
OPP-5314-86,Ruchita Patil,39.91
OPP-3604-41,Heena Chopra,37.03
OPP-0039-68,Jaswinder Singh,43.27
OPP-9964-58,Ruchita Patil,44.09
OPP-2105-73,Belal Farooqui,36.73
OPP-5519-40,Ruchita Patil,43.1
OPP-7310-77,Jaswinder Singh,23.61
OPP-3425-57,Belal Farooqui,37.62
OPP-8348-44,Ruchita Patil,27.78
OPP-3394-22,Heena Chopra,29.78
OPP-9351-72,Belal Farooqui,22.0
OPP-4383-77,Jaswinder Singh,48.59
OPP-1638-77,Belal Farooqui,32.19
OPP-0337-06,Ruchita Patil,38.38
OPP-4220-34,Heena Chopra,43.48
OPP-3719-08,Ruchita Patil,48.34
OPP-6830-69,Ruchita Patil,41.48
OPP-9043-03,Ruchita Patil,34.78
OPP-6711-57,Ruchita Patil,31.69
OPP-4889-97,Belal Farooqui,34.85
OPP-8327-62,Ruchita Patil,48.58
OPP-1817-64,Ruchita Patil,24.15
OPP-1406-86,Heena Chopra,29.72
OPP-0717-72,Belal Farooqui,31.03
OPP-0018-70,Ruchita Patil,35.01
OPP-8221-85,Ruchita Patil,21.32
OPP-3061-69,Ruchita Patil,44.88
OPP-7020-33,Jaswinder Singh,39.37
OPP-0904-24,Ruchita Patil,25.08
OPP-2635-95,Ruchita Patil,37.76
OPP-5084-33,Jaswinder Singh,46.04
OPP-9790-77,Belal Farooqui,28.44
OPP-5932-21,Jaswinder Singh,48.84
OPP-5426-49,Belal Farooqui,30.13
OPP-8263-56,Belal Farooqui,20.24
OPP-3523-71,Belal Farooqui,40.49
OPP-4826-03,Ruchita Patil,47.54
OPP-1669-10,Ruchita Patil,41.21
OPP-0100-38,Ruchita Patil,37.13
OPP-6129-96,Ruchita Patil,26.74
OPP-1138-42,Ruchita Patil,34.56
OPP-7049-60,Ruchita Patil,20.12
OPP-2323-86,Ruchita Patil,30.12
OPP-6938-37,Ruchita Patil,40.28
OPP-5853-29,Belal Farooqui,24.84
OPP-6090-87,Ruchita Patil,25.03
OPP-5677-61,Ruchita Patil,46.77
OPP-9947-00,Ruchita Patil,28.69
OPP-4050-79,Ruchita Patil,35.08
OPP-0318-27,Ruchita Patil,38.14
OPP-2308-34,Belal Farooqui,29.02
OPP-5623-72,Belal Farooqui,35.18
OPP-6812-94,Ruchita Patil,45.83
OPP-0465-17,Jaswinder Singh,38.32
OPP-7753-57,Jaswinder Singh,22.64
OPP-3163-27,Ruchita Patil,29.06
OPP-7877-80,Belal Farooqui,29.26
OPP-2016-98,Ruchita Patil,22.14
OPP-5625-71,Ruchita Patil,28.23
OPP-7473-30,Heena Chopra,32.98
OPP-8768-03,Ruchita Patil,20.59
OPP-3046-72,Belal Farooqui,41.72
OPP-0719-30,Ruchita Patil,21.15
OPP-0226-68,Ruchita Patil,35.54
OPP-4556-37,Ruchita Patil,47.01
OPP-4896-63,Ruchita Patil,22.43
OPP-1046-09,Ruchita Patil,20.66
OPP-0972-45,Ruchita Patil,23.32
OPP-7588-25,Heena Chopra,34.79
OPP-5457-45,Ruchita Patil,32.79
OPP-8300-89,Ruchita Patil,33.19
OPP-7124-21,Jaswinder Singh,24.89
OPP-4300-91,Heena Chopra,33.7
OPP-7879-50,Heena Chopra,48.57
OPP-6244-70,Belal Farooqui,39.8
OPP-5677-31,Ruchita Patil,40.66
OPP-2518-94,Jaswinder Singh,35.1
OPP-4563-09,Belal Farooqui,34.37
OPP-3784-58,Ruchita Patil,44.81
OPP-3300-55,Ruchita Patil,41.96
OPP-4745-27,Jaswinder Singh,45.02
OPP-7220-29,Jaswinder Singh,45.37
OPP-1527-45,Ruchita Patil,46.96
OPP-1393-25,Heena Chopra,28.58
OPP-0264-72,Ruchita Patil,23.71
OPP-7557-54,Ruchita Patil,22.58
OPP-9228-18,Ruchita Patil,26.91
OPP-7659-35,Ruchita Patil,46.79
OPP-6658-34,Ruchita Patil,22.17
OPP-0532-15,Ruchita Patil,35.21
OPP-0718-02,Ruchita Patil,45.43
OPP-7967-86,Ruchita Patil,22.27
OPP-4934-25,Belal Farooqui,43.74
OPP-4142-45,Belal Farooqui,41.48
OPP-4878-73,Ruchita Patil,43.64
OPP-7329-18,Jaswinder Singh,24.05
OPP-8766-39,Ruchita Patil,43.32
OPP-1737-10,Ruchita Patil,32.64
OPP-0159-56,Belal Farooqui,23.31
OPP-7259-53,Belal Farooqui,30.46
OPP-1181-06,Ruchita Patil,21.02
OPP-0249-13,Belal Farooqui,48.79
OPP-2882-65,Belal Farooqui,49.76
OPP-3552-15,Ruchita Patil,48.87
OPP-4892-60,Ruchita Patil,23.37
OPP-7233-81,Jaswinder Singh,30.79
OPP-9145-95,Ruchita Patil,28.83
OPP-5572-50,Jaswinder Singh,41.68
OPP-5371-86,Belal Farooqui,22.82
OPP-6478-96,Belal Farooqui,28.2
OPP-0079-82,Jaswinder Singh,48.61
OPP-1172-36,Ruchita Patil,45.52
OPP-8871-86,Belal Farooqui,41.46
OPP-7453-11,Heena Chopra,49.44
OPP-2068-63,Ruchita Patil,29.41
OPP-9638-75,Heena Chopra,38.67
OPP-8786-35,Ruchita Patil,20.73
OPP-4822-00,Ruchita Patil,20.15
OPP-6266-18,Ruchita Patil,29.84
OPP-6625-86,Belal Farooqui,46.51
OPP-7342-29,Belal Farooqui,23.78
OPP-6595-18,Jaswinder Singh,23.53
OPP-6113-22,Jaswinder Singh,37.74
OPP-9120-13,Ruchita Patil,29.41
OPP-0684-84,Belal Farooqui,40.53
OPP-2379-41,Ruchita Patil,33.72
OPP-7814-84,Ruchita Patil,35.46
OPP-4618-63,Ruchita Patil,31.65
OPP-0093-16,Ruchita Patil,49.46
OPP-5953-93,Belal Farooqui,36.8
OPP-2457-83,Belal Farooqui,33.97
OPP-7956-48,Jaswinder Singh,31.74
OPP-8387-68,Ruchita Patil,20.59
OPP-7817-57,Heena Chopra,33.86
OPP-9804-61,Belal Farooqui,34.77
OPP-4666-42,Ruchita Patil,39.27
OPP-6035-81,Ruchita Patil,48.63
OPP-6654-85,Ruchita Patil,40.59
OPP-2912-39,Belal Farooqui,34.47
OPP-1020-27,Belal Farooqui,31.14
OPP-2706-09,Ruchita Patil,24.03
OPP-2095-85,Heena Chopra,30.37
OPP-3777-19,Heena Chopra,37.58
OPP-1907-47,Belal Farooqui,38.19
OPP-7450-12,Belal Farooqui,25.97
OPP-4994-88,Ruchita Patil,28.92
OPP-5900-53,Ruchita Patil,38.77
OPP-1764-74,Ruchita Patil,23.53
OPP-4501-98,Ruchita Patil,36.57
OPP-6011-77,Ruchita Patil,31.3
OPP-7449-50,Ruchita Patil,40.64
OPP-4966-73,Ruchita Patil,37.42
OPP-3333-38,Jaswinder Singh,47.46
OPP-0792-07,Ruchita Patil,41.98
OPP-8946-54,Heena Chopra,36.29
OPP-6793-53,Ruchita Patil,32.4
OPP-4138-30,Heena Chopra,48.95
OPP-8479-13,Heena Chopra,24.42
OPP-9912-33,Ruchita Patil,22.59
OPP-3493-24,Ruchita Patil,20.89
OPP-3157-43,Ruchita Patil,40.72
OPP-7875-81,Ruchita Patil,27.7
OPP-4824-26,Ruchita Patil,39.88
OPP-9730-80,Ruchita Patil,27.44
OPP-6911-90,Heena Chopra,34.78
OPP-3331-28,Heena Chopra,37.75
OPP-3579-73,Belal Farooqui,33.34
OPP-7568-87,Heena Chopra,47.73
OPP-4316-13,Ruchita Patil,40.96
OPP-1490-55,Ruchita Patil,30.11
OPP-6043-06,Ruchita Patil,23.09
OPP-2598-54,Heena Chopra,22.04
OPP-7264-65,Ruchita Patil,30.02
OPP-2447-77,Jaswinder Singh,36.1
OPP-9620-20,Jaswinder Singh,49.59
OPP-1497-07,Belal Farooqui,27.82
OPP-7693-34,Belal Farooqui,30.32
OPP-7005-70,Ruchita Patil,41.7
OPP-4927-26,Belal Farooqui,32.59
OPP-5775-73,Belal Farooqui,42.05
OPP-1187-57,Ruchita Patil,47.44
OPP-0554-63,Belal Farooqui,23.02
OPP-7612-27,Ruchita Patil,35.37
OPP-0461-86,Ruchita Patil,26.92
OPP-7727-17,Ruchita Patil,25.24
OPP-4499-31,Ruchita Patil,39.01
OPP-2203-33,Jaswinder Singh,27.54
OPP-5258-23,Heena Chopra,29.35
OPP-7821-20,Heena Chopra,20.71
OPP-7427-07,Ruchita Patil,39.36
OPP-1616-10,Jaswinder Singh,33.46
OPP-6859-88,Heena Chopra,46.96
OPP-3443-47,Ruchita Patil,29.33
OPP-0315-08,Ruchita Patil,44.77
OPP-8212-34,Jaswinder Singh,34.03
OPP-7176-51,Heena Chopra,28.8
OPP-3791-84,Ruchita Patil,41.43
OPP-1925-67,Ruchita Patil,38.23
OPP-8457-83,Heena Chopra,48.24
OPP-9489-11,Heena Chopra,27.23
OPP-1804-68,Heena Chopra,21.47
OPP-0581-82,Belal Farooqui,39.9
OPP-5181-35,Ruchita Patil,27.5
OPP-2777-74,Ruchita Patil,21.79
OPP-5722-42,Ruchita Patil,32.8
OPP-7353-47,Belal Farooqui,34.25
OPP-1043-97,Belal Farooqui,36.14
OPP-6190-37,Ruchita Patil,49.66
OPP-0710-56,Belal Farooqui,34.62
OPP-1222-62,Belal Farooqui,36.21
OPP-4621-79,Heena Chopra,46.54
OPP-6788-65,Ruchita Patil,25.38
OPP-4169-95,Heena Chopra,28.22
OPP-1080-87,Ruchita Patil,47.18
OPP-0578-43,Ruchita Patil,42.56
OPP-9063-74,Belal Farooqui,27.84
OPP-7966-92,Jaswinder Singh,45.06
OPP-9957-26,Belal Farooqui,31.28
OPP-9122-91,Ruchita Patil,23.09
OPP-0169-63,Ruchita Patil,25.27
OPP-8534-98,Ruchita Patil,25.47
OPP-2398-39,Belal Farooqui,46.48
OPP-6111-35,Ruchita Patil,39.19
OPP-9866-37,Ruchita Patil,20.1
OPP-6675-60,Belal Farooqui,27.2
OPP-7026-02,Belal Farooqui,26.64
OPP-5278-92,Ruchita Patil,24.24
OPP-2446-44,Ruchita Patil,45.21
OPP-8857-72,Ruchita Patil,24.67
OPP-8917-48,Ruchita Patil,33.53
OPP-2463-53,Jaswinder Singh,28.48
OPP-4194-35,Ruchita Patil,45.83
OPP-8997-22,Ruchita Patil,27.52
OPP-2828-62,Ruchita Patil,30.62
OPP-0856-71,Jaswinder Singh,20.78
OPP-3562-40,Jaswinder Singh,35.87
OPP-6032-31,Belal Farooqui,46.18
OPP-0242-77,Ruchita Patil,42.05
OPP-3157-43,Ruchita Patil,43.51
OPP-1158-39,Jaswinder Singh,41.15
OPP-5685-81,Ruchita Patil,32.87
OPP-4902-19,Ruchita Patil,29.15
OPP-6153-66,Ruchita Patil,28.84
OPP-2134-71,Ruchita Patil,38.98
OPP-1226-08,Belal Farooqui,41.36
OPP-2959-90,Belal Farooqui,49.59
OPP-2602-44,Ruchita Patil,36.11
OPP-7727-82,Heena Chopra,34.19
OPP-0950-41,Ruchita Patil,32.92
OPP-3923-94,Heena Chopra,21.73
OPP-0920-66,Ruchita Patil,29.28
OPP-2880-58,Jaswinder Singh,28.04
OPP-8619-90,Jaswinder Singh,20.44
OPP-3574-54,Heena Chopra,45.82
OPP-7808-23,Belal Farooqui,23.29
OPP-3898-07,Belal Farooqui,21.77
OPP-0336-86,Ruchita Patil,20.9
OPP-9723-34,Heena Chopra,21.87
OPP-2144-60,Jaswinder Singh,33.31
OPP-9437-85,Heena Chopra,46.47
OPP-2634-55,Belal Farooqui,46.19
OPP-9029-08,Ruchita Patil,36.04
OPP-5888-53,Ruchita Patil,40.35
OPP-1277-68,Belal Farooqui,36.74
OPP-7587-43,Belal Farooqui,32.28
OPP-1612-31,Ruchita Patil,43.26
OPP-3348-30,Ruchita Patil,48.82
OPP-2531-79,Ruchita Patil,37.42
OPP-2754-01,Belal Farooqui,42.59
OPP-4441-94,Belal Farooqui,34.29
OPP-6559-78,Ruchita Patil,30.83
OPP-9613-51,Heena Chopra,21.43
OPP-7242-60,Belal Farooqui,23.7
OPP-7363-90,Ruchita Patil,31.05
OPP-7246-07,Belal Farooqui,28.52
OPP-0067-81,Ruchita Patil,40.48
OPP-5011-99,Ruchita Patil,43.08
OPP-5692-68,Ruchita Patil,34.78
OPP-2943-64,Ruchita Patil,23.48
OPP-9072-70,Jaswinder Singh,21.51
OPP-8233-99,Jaswinder Singh,34.3
OPP-2769-32,Heena Chopra,30.49
OPP-6935-96,Ruchita Patil,30.85
OPP-9341-65,Ruchita Patil,49.85
OPP-0997-79,Heena Chopra,39.67
OPP-7721-34,Jaswinder Singh,39.34
OPP-9845-26,Belal Farooqui,46.08
OPP-8647-96,Jaswinder Singh,44.75
OPP-5945-33,Ruchita Patil,49.1
OPP-2083-50,Ruchita Patil,35.03
OPP-8294-45,Belal Farooqui,27.66
OPP-6035-68,Ruchita Patil,22.8
OPP-1671-22,Belal Farooqui,39.05
OPP-1822-31,Ruchita Patil,23.04
OPP-6672-75,Ruchita Patil,32.86
OPP-9708-68,Jaswinder Singh,40.34
OPP-6725-12,Belal Farooqui,49.78
OPP-3176-42,Ruchita Patil,24.39
